mandat_id,mandature_id,personne_id,nom,prenom,role,from_date,to_date,source_personne,source
,gouv_sarrien,,Bérard,Alexandre,Sous-secrétaire d'État aux Postes et Télégraphes,,,,https://fr.wikipedia.org/wiki/Gouvernement_Ferdinand_Sarrien
,gouv_clemenceau_2,,Bérenger,Henry,Commissaire général aux Essences et Combustibles,,,,https://fr.wikipedia.org/wiki/Gouvernement_Georges_Clemenceau_(2)
,gouv_millerand_1,,Bérenger,Henry,Commissaire général aux Essences et Combustibles,,,,https://fr.wikipedia.org/wiki/Gouvernement_Alexandre_Millerand_(1)
,gouv_millerand_2,,Bérenger,Henry,Commissaire général aux Essences et Combustibles,,,,https://fr.wikipedia.org/wiki/Gouvernement_Alexandre_Millerand_(2)
,gouv_de_freycinet_2,,Berlet,Albert,Sous-secrétaire d'État aux Colonies,,,,https://fr.wikipedia.org/wiki/Gouvernement_Charles_de_Freycinet_(2)
,gouv_de_freycinet_3,,Bernard,Jean,Sous-secrétaire d’État à l'Intérieur,,,,https://fr.wikipedia.org/wiki/Gouvernement_Charles_de_Freycinet_(3)
,gouv_daladier_2,,Bernier,Paul,"Ministre des Postes, Télégraphes et Téléphones",,,,https://fr.wikipedia.org/wiki/Gouvernement_Édouard_Daladier_(2)
,gouv_herriot_3,,Bernier,Paul,Sous-secrétaire d’État à l'Air,,,,https://fr.wikipedia.org/wiki/Gouvernement_Édouard_Herriot_(3)
,gouv_paul_boncour,,Bernier,Paul,Sous-secrétaire d’État à l'Air,,,,https://fr.wikipedia.org/wiki/Gouvernement_Joseph_Paul-Boncour
,gouv_gambetta,,Bert,Paul,Ministre de l'Instruction publique et des Cultes,,,,https://fr.wikipedia.org/wiki/Gouvernement_Léon_Gambetta
,gouv_combes,,Berteaux,Maurice,Ministre de la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Émile_Combes
,gouv_monis,,Berteaux,Maurice,Ministre de la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Ernest_Monis
,gouv_rouvier_2,,Berteaux,Maurice,Ministre de la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Maurice_Rouvier_(2)
,gouv_bourgeois,,Berthelot,Marcellin,Ministre des Affaires étrangères,,,,https://fr.wikipedia.org/wiki/Gouvernement_Léon_Bourgeois
,gouv_goblet,,Berthelot,Marcellin,Ministre de l'Instruction publique,,,,https://fr.wikipedia.org/wiki/Gouvernement_René_Goblet
,gouv_chautemps_1,,Berthod,Adrien,Sous-secrétaire d’État à la Présidence du Conseil,,,,https://fr.wikipedia.org/wiki/Gouvernement_Camille_Chautemps_(1)
,gouv_daladier_2,,Berthod,Adrien,Ministre de l'Éducation nationale,,,,https://fr.wikipedia.org/wiki/Gouvernement_Édouard_Daladier_(2)
,gouv_doumergue_2,,Berthod,Adrien,Ministre de l'Éducation nationale,,,,https://fr.wikipedia.org/wiki/Gouvernement_Gaston_Doumergue_(2)
,gouv_herriot_3,,Berthod,Adrien,Ministre des Pensions,,,,https://fr.wikipedia.org/wiki/Gouvernement_Édouard_Herriot_(3)
,gouv_painleve_3,,Berthod,Adrien,Sous-secrétaire d’État à la Présidence du Conseil,,,,https://fr.wikipedia.org/wiki/Gouvernement_Paul_Painlevé_(3)
,gouv_steeg,,Berthod,Adrien,Sous-secrétaire d’État aux Beaux-Arts,,,,https://fr.wikipedia.org/wiki/Gouvernement_Théodore_Steeg
,gouv_bouisson,,Bertrand,William,Ministre de la Marine marchande,,,,https://fr.wikipedia.org/wiki/Gouvernement_Fernand_Bouisson
,gouv_chautemps_2,,Bertrand,William,Ministre de la Marine marchande,,,,https://fr.wikipedia.org/wiki/Gouvernement_Camille_Chautemps_(2)
,gouv_chautemps_2,,Bertrand,William,Sous-secrétaire d’État à la Présidence du Conseil et à l’Intérieur chargé de l’Intérieur,,,,https://fr.wikipedia.org/wiki/Gouvernement_Camille_Chautemps_(2)
,gouv_chautemps_3,,Bertrand,William,Sous-secrétaire d’État à la Présidence du Conseil,,,,https://fr.wikipedia.org/wiki/Gouvernement_Camille_Chautemps_(3)
,gouv_chautemps_4,,Bertrand,William,Ministre de la Marine militaire,,,,https://fr.wikipedia.org/wiki/Gouvernement_Camille_Chautemps_(4)
,gouv_doumergue_2,,Bertrand,William,Ministre de la Marine marchande,,,,https://fr.wikipedia.org/wiki/Gouvernement_Gaston_Doumergue_(2)
,gouv_laval_4,,Bertrand,William,Ministre de la Marine marchande	,,,,https://fr.wikipedia.org/wiki/Gouvernement_Pierre_Laval_(4)
,gouv_briand_3,,Besnard,René,Ministre du Travail et de la Prévoyance sociale,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(3)
,gouv_briand_4,,Besnard,René,Ministre du Travail et de la Prévoyance sociale,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(4)
,gouv_briand_5,,Besnard,René,Sous-secrétaire d'État à la Guerre chargé de l'aéronautique militaire,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(5)
,gouv_briand_6,,Besnard,René,Sous-secrétaire d'État à l'Administration générale de l'armée,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(6)
,gouv_caillaux,,Besnard,René,Sous-secrétaire d'État aux Finances,,,,https://fr.wikipedia.org/wiki/Gouvernement_Joseph_Caillaux
,gouv_chautemps_1,,Besnard,René,Ministre de la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Camille_Chautemps_(1)
,gouv_méline,,Besnard,Gustave,Ministre de la Marine,,,,https://fr.wikipedia.org/wiki/Gouvernement_Jules_Méline
,gouv_painleve_1,,Besnard,René,Ministre des Colonies,,,,https://fr.wikipedia.org/wiki/Gouvernement_Paul_Painlevé_(1)
,gouv_poincare_1,,Besnard,René,Ministre des Colonies	,,,,https://fr.wikipedia.org/wiki/Gouvernement_Raymond_Poincaré_(1)
,gouv_poincare_1,,Besnard,René,Sous-secrétaire d’État aux Finances,,,,https://fr.wikipedia.org/wiki/Gouvernement_Raymond_Poincaré_(1)
,gouv_ribot_3,,Besnard,Gustave,Ministre de la Marine,,,,https://fr.wikipedia.org/wiki/Gouvernement_Alexandre_Ribot_(3)
,gouv_ribot_5,,Besnard,René,Sous-secrétaire d'État à l'Administration générale de l'armée,,,,https://fr.wikipedia.org/wiki/Gouvernement_Alexandre_Ribot_(5)
,gouv_viviani_2,,Besnard,René,Sous-secrétaire d’État de la Guerre chargé de l'Aéronautique militaire,,,,https://fr.wikipedia.org/wiki/Gouvernement_René_Viviani_(2)
,gouv_daladier_5,,Besse,René,Ministre des Anciens Combattants et des Pensionnés,,,,https://fr.wikipedia.org/wiki/Gouvernement_Édouard_Daladier_(5)
